Id,Start time,Completion time,Email,Name,What alias would you like to use for the snow contest tracker website?,Department/Division ,What will the total seasonal snowfall (inches) from July 2025 to June 2026.,Will it snow on the following holidays?.Thanksgiving,Will it snow on the following holidays?.Christmas,Will it snow on the following holidays?.New Year’s Day,Will it snow on the following holidays?.MLK Day,Will it snow on the following holidays?.Presidents Day
,,,,,Quinn Martin,COD,15.2,,,,,
,,,,,Isabella Lee,4S,19,,,,,
,,,,,Mason Thompson,Design,19.9,,,,,
,,,,,Abigail Young,TOC,20,,,,,
,,,,,Taylor Harris,Legal,20.6,,,,,
,,,,,Peyton Hernandez,4S,21,,,,,
,,,,,Kai Jones,Maintenance,22.4,,,,,
,,,,,Emerson Perez,Legal,22.7,,,,,
,,,,,Mia Williams,4S,23,,,,,
,,,,,Peyton Ramirez,Permits,23.7,,,,,
,,,,,Jamie Thompson,Payroll,24.2,,,,,
,,,,,Elliot Hernandez,Legal,25.1,,,,,
,,,,,Emerson Lewis,Engineering,25.1,,,,,
,,,,,Jamie Taylor,D3,25.9,,,,,
,,,,,Cameron Hill,4S,26,,,,,
,,,,,Reese Lopez,D3,26.5,,,,,
,,,,,Oliver Nguyen,Finance,26.3,,,,,
,,,,,Quinn Smith,D3,26.8,,,,,
,,,,,Mia Thomas,4S,27,,,,,
,,,,,Avery Jones,Maintenance,27.4,,,,,
,,,,,Jack Davis,Traffic Safety,27.5,,,,,
,,,,,Leo Nguyen,D2,28,,,,,
,,,,,Logan Lewis,D3,28.4,,,,,
,,,,,Taylor Taylor,Risk,28.5,,,,,
,,,,,Harper Brown,D4,28.5,,,,,
,,,,,Liam Wilson,D2,28.7,,,,,
,,,,,Amelia Robinson,Inventory Control,29,,,,,
,,,,,Leo Wright,DCS,29.5,,,,,
,,,,,Emma Johnson,4T,29.7,,,,,
,,,,,Jamie Hill,D2,30,,,,,
,,,,,Sophia Rodriguez,D4,30.3,,,,,
,,,,,Rowan Hill,MHQ,30.5,,,,,
,,,,,Skyler Hernandez,D3,30.7,,,,,
,,,,,Sophia Martinez,4S,31,,,,,
,,,,,Sophia Young,D6,31,,,,,
,,,,,Owen Miller,TOC,31.3,,,,,
,,,,,Reese Robinson,SD4,31.7,,,,,
,,,,,Harper Rodriguez,ROW,31.8,,,,,
,,,,,Quinn Jackson,D3,31.8,,,,,
,,,,,Emerson White,4S,32,,,,,
,,,,,Emma Young,4T,32,,,,,
,,,,,Cameron Scott,Finance,32.1,,,,,
,,,,,Owen King,Design,32.2,,,,,
,,,,,Isabella Garcia,D3,32.4,,,,,
,,,,,Drew Anderson,D7,32.5,,,,,
,,,,,Lucas Davis,Construction,32.7,,,,,
,,,,,Evelyn Walker,Traffic Safety,32.7,,,,,
,,,,,Drew Robinson,D2,33.2,,,,,
,,,,,Emerson Davis,DCS/Permits,33.3,,,,,
,,,,,Ethan Harris,Construction,33.4,,,,,
,,,,,Mason Rodriguez,D3,33.4,,,,,
,,,,,Cameron Hernandez,DCS,33.5,,,,,
,,,,,Isabella Torres,4T,33.7,,,,,
,,,,,Avery Thompson,D2,33.7,,,,,
,,,,,Lucas Martinez,Survey,33.9,,,,,
,,,,,Drew King,D6,34,,,,,
,,,,,Amelia Clark,Permits,34.2,,,,,
,,,,,Olivia Lewis,Permits,34.2,,,,,
,,,,,Oliver Lewis,Design,34.2,,,,,
,,,,,Emma Williams,D7,34.2,,,,,
,,,,,Riley White,D4,34.3,,,,,
,,,,,Jordan Clark,D2,34.4,,,,,
,,,,,Emma White,Finance,34.5,,,,,
,,,,,Sophia Hernandez,Finance,34.5,,,,,
,,,,,Sophia Jones,4S,34.5,,,,,
,,,,,Logan Allen,D6,34.5,,,,,
,,,,,Jordan Thompson,Construction,34.7,,,,,
,,,,,Morgan King,ROW,34.7,,,,,
,,,,,Leo White,D1,34.7,,,,,
,,,,,Ethan Johnson,D2,34.8,,,,,
,,,,,Evelyn King,MDO,35,,,,,
,,,,,Noah Nguyen,4s,35,,,,,
,,,,,Oliver Garcia,D3,35,,,,,
,,,,,Peyton Allen,4T,35,,,,,
,,,,,Sophia Miller,Design,35.2,,,,,
,,,,,Kai Walker,IT,35.4,,,,,
,,,,,Logan Green,D7,35.4,,,,,
,,,,,Sophia Green,D2,35.5,,,,,
,,,,,Isabella Gonzalez,D4,35.5,,,,,
,,,,,Avery Torres,D2,35.5,,,,,
,,,,,Sophia Thompson,D2,35.5,,,,,
,,,,,Ava Gonzalez,D7,35.7,,,,,
,,,,,Isabella Taylor,D6,35.8,,,,,
,,,,,Drew Sanchez,Inventory Control,35.9,,,,,
,,,,,Noah Torres,D6,36,,,,,
,,,,,Logan Lewis,D2,36.1,,,,,
,,,,,Alex Walker,Design,36.2,,,,,
,,,,,Drew Sanchez,Design,36.2,,,,,
,,,,,Evelyn Hill,COD,36.3,,,,,
,,,,,Reese Lee,TS,36.4,,,,,
,,,,,Cameron Sanchez,Design,36.4,,,,,
,,,,,Hayden Allen,HR,36.5,,,,,
,,,,,Hayden Lewis,D3,36.5,,,,,
,,,,,Harper Gonzalez,4T,36.8,,,,,
,,,,,Rowan Jones,D7,36.9,,,,,
,,,,,Amelia Wilson,D6,36.9,,,,,
,,,,,Kai Harris,4S,37,,,,,
,,,,,Liam Lewis,D2,37,,,,,
,,,,,Avery Young,D2,37,,,,,
,,,,,Oliver Wilson,D2,37.2,,,,,
,,,,,Owen Jones,MDO,37.3,,,,,
,,,,,Oliver Gonzalez,4T,37.4,,,,,
,,,,,Taylor Allen,COD,37.5,,,,,
,,,,,Olivia Nguyen,4T,37.6,,,,,
,,,,,Drew Davis,PEC,37.7,,,,,
,,,,,Jamie Moore,D4,37.8,,,,,
,,,,,Oliver Jones,Finance,38,,,,,
,,,,,Noah Johnson,TOC,38.1,,,,,
,,,,,Peyton Scott,D3,38.3,,,,,
,,,,,Ava Smith,PEC,38.4,,,,,
,,,,,Jamie King,4T,38.4,,,,,
,,,,,Skyler Lewis,D2,38.4,,,,,
,,,,,Cameron Ramirez,COD,38.5,,,,,
,,,,,Morgan Clark,PEC,38.5,,,,,
,,,,,Casey Robinson,4S,38.5,,,,,
,,,,,Rowan Ramirez,HR,38.5,,,,,
,,,,,Casey Thompson,D6,38.5,,,,,
,,,,,Cameron Lewis,Engineering,38.6,,,,,
,,,,,Lucas Martinez,DCS,38.7,,,,,
,,,,,Emerson Allen,D7,38.7,,,,,
,,,,,Henry Lee,D2,38.8,,,,,
,,,,,Jordan Lewis,D4,39,,,,,
,,,,,Elliot Williams,Construction,39.1,,,,,
,,,,,Abigail Nguyen,COD,39.2,,,,,
,,,,,Emerson White,4T,39.2,,,,,
,,,,,Emma Rodriguez,D2,39.2,,,,,
,,,,,Kai Smith,PEC,39.3,,,,,
,,,,,Drew Walker,D3,39.3,,,,,
,,,,,Jamie Martin,Engineering,39.5,,,,,
,,,,,Isabella Hernandez,D4,39.5,,,,,
,,,,,Casey Young,4S,39.6,,,,,
,,,,,Abigail Torres,MHQ,39.8,,,,,
,,,,,Taylor Anderson,COD,39.8,,,,,
,,,,,Hayden Wilson,D6,40.2,,,,,
,,,,,Cameron Johnson,D7,40.3,,,,,
,,,,,Olivia Brown,Legal,40.5,,,,,
,,,,,Quinn King,D3,40.5,,,,,
,,,,,Noah Johnson,Programming,40.9,,,,,
,,,,,Kai Moore,D4,41,,,,,
,,,,,Logan Williams,Engineering,41.3,,,,,
,,,,,Emma Nguyen,Engineering,41.4,,,,,
,,,,,Oliver Wright,D7,41.5,,,,,
,,,,,Mia Martin,DCS,41.7,,,,,
,,,,,Henry Green,D3,41.7,,,,,
,,,,,Quinn Smith,Traffic Safety,42,,,,,
,,,,,Leo Jackson,4S,42,,,,,
,,,,,Rowan Lee,4S,42,,,,,
,,,,,Reese Moore,MHQ,42.2,,,,,
,,,,,Owen Young,MDO,42.2,,,,,
,,,,,Leo Ramirez,HR,42.3,,,,,
,,,,,Ethan Miller,MHQ,42.3,,,,,
,,,,,Owen Young,D6,42.3,,,,,
,,,,,Quinn Martin,Engineering,42.5,,,,,
,,,,,Morgan Jones,DCS,42.5,,,,,
,,,,,Rowan Clark,D3,42.5,,,,,
,,,,,Hayden Clark,Finance,42.5,,,,,
,,,,,Jamie White,Traffic Safety,42.6,,,,,
,,,,,Henry Perez,4T,42.6,,,,,
,,,,,Avery Anderson,D2,42.6,,,,,
,,,,,Olivia Hill,Traffic Safety,42.7,,,,,
,,,,,Hayden Martinez,D7,42.7,,,,,
,,,,,Quinn Torres,Survey,43,,,,,
,,,,,Harper Wilson,D2,43.2,,,,,
,,,,,Evelyn Wright,4S,43.5,,,,,
,,,,,Jamie Thomas,D7,43.5,,,,,
,,,,,Harper King,D2,43.5,,,,,
,,,,,Ethan Davis,D4,43.6,,,,,
,,,,,Owen Green,TS,44.2,,,,,
,,,,,Taylor Rodriguez,D3,44.2,,,,,
,,,,,Mason Miller,4T,44.4,,,,,
,,,,,Evelyn Torres,SID,45,,,,,
,,,,,Jack Thomas,D6,45,,,,,
,,,,,Taylor Williams,ROW,45.1,,,,,
,,,,,Elliot Miller,D8,45.3,,,,,
,,,,,Oliver Miller,DCS ,45.3,,,,,
,,,,,Olivia Gonzalez,D3,45.5,,,,,
,,,,,Alex Rodriguez,D2,45.5,,,,,
,,,,,Liam Lopez,Finance,45.7,,,,,
,,,,,Oliver Williams,SID,45.8,,,,,
,,,,,Jordan Green,TOC,45.8,,,,,
,,,,,Evelyn Ramirez,Construction,46.1,,,,,
,,,,,Ava Robinson,SID,46.2,,,,,
,,,,,Avery Miller,D3,46.2,,,,,
,,,,,Taylor Young,D7,46.3,,,,,
,,,,,Emerson Hill,Finance,46.4,,,,,
,,,,,Elliot Miller,4T,46.4,,,,,
,,,,,Kai Brown,TS,46.4,,,,,
,,,,,Jamie Perez,4T,46.5,,,,,
,,,,,Ava Gonzalez,D4,46.5,,,,,
,,,,,Abigail Robinson,D4,46.6,,,,,
,,,,,Olivia Perez,D2,46.9,,,,,
,,,,,Avery Young,Inventory Control,47,,,,,
,,,,,Emerson King,Construction,47,,,,,
,,,,,Leo Sanchez,4S,47,,,,,
,,,,,Emma King,D7,47,,,,,
,,,,,Lucas Green,D4,47,,,,,
,,,,,Lucas Thompson,D4,47,,,,,
,,,,,Morgan Lopez,D2,47.3,,,,,
,,,,,Cameron Martinez,4T,47.7,,,,,
,,,,,Lucas Smith,D7,47.7,,,,,
,,,,,Reese Scott,PEC,47.9,,,,,
,,,,,Liam Davis,Construction,48,,,,,
,,,,,Skyler Green,4S,48,,,,,
,,,,,Alex Taylor,HR,48.2,,,,,
,,,,,Noah Green,IT,48.3,,,,,
,,,,,Amelia Wright,Permits,48.3,,,,,
,,,,,Olivia Nguyen,Permits,48.4,,,,,
,,,,,Logan Hill,D6,48.6,,,,,
,,,,,Isabella Nguyen,D6,48.6,,,,,
,,,,,Amelia King,4T,48.8,,,,,
,,,,,Skyler Jackson,IT,49.1,,,,,
,,,,,Morgan Johnson,SID,49.1,,,,,
,,,,,Morgan Johnson,Legal,49.6,,,,,
,,,,,Evelyn Wright,D4,49.8,,,,,
,,,,,Owen Johnson,D4,49.8,,,,,
,,,,,Avery Allen,D7,50,,,,,
,,,,,Amelia Jones,PEC,50.3,,,,,
,,,,,Emma Thomas,DCS,51,,,,,
,,,,,Alex Rodriguez,D4,51,,,,,
,,,,,Henry Taylor,4T,51.6,,,,,
,,,,,Kai Scott,4S,52,,,,,
,,,,,Morgan Gonzalez,D6,52,,,,,
,,,,,Jordan Gonzalez,Permits,52.1,,,,,
,,,,,Leo Brown,Programming,52.2,,,,,
,,,,,Cameron Torres,D4,53,,,,,
,,,,,Jordan Nguyen,Materials Testing,53.2,,,,,
,,,,,Elliot Smith,D3,53.4,,,,,
,,,,,Noah Sanchez,D6,53.5,,,,,
,,,,,Leo Young,MHQ,54.3,,,,,
,,,,,Skyler Davis,D6,54.5,,,,,
,,,,,Ethan Gonzalez,TOC,55.5,,,,,
,,,,,Henry Miller,Construction,55.5,,,,,
,,,,,Skyler Jones,TOC,55.5,,,,,
,,,,,Oliver Garcia,DCS,56,,,,,
,,,,,Logan Martinez,D4,56,,,,,
,,,,,Emerson Martin,Finance,56.2,,,,,
,,,,,Sophia Hernandez,D3,56.2,,,,,
,,,,,Elliot Green,Permits,56.3,,,,,
,,,,,Mason Sanchez,ROW,57.2,,,,,
,,,,,Casey Smith,Permits,57.5,,,,,
,,,,,Morgan Thompson,D4,59.6,,,,,
,,,,,Noah White,Inventory Control,59.7,,,,,
,,,,,Peyton Wilson,TS,62.3,,,,,
,,,,,Riley Harris,MHQ,63.4,,,,,
,,,,,Harper Clark,IT,64.3,,,,,
,,,,,Cameron Garcia,Finance,64.4,,,,,
,,,,,Elliot Young,D4,65,,,,,
,,,,,Peyton Thomas,TOC,66.6,,,,,
,,,,,Sophia Rodriguez,MDO,67.3,,,,,
,,,,,Emerson Martinez,Inventory Control,69.1,,,,,
,,,,,Alex Anderson,D7,69.7,,,,,
,,,,,Logan Moore,D6,74,,,,,
,,,,,Rowan King,COD,75.4,,,,,
,,,,,Rowan Perez,PEC,76.9,,,,,
,,,,,Drew Wilson,Risk,77.5,,,,,
,,,,,Ethan Thompson,D6,82.6,,,,,
,,,,,Reese Lewis,D7,85.3,,,,,
,,,,,Cameron Torres,D7,93.1,,,,,
,,,,,Liam Hernandez,4S,101,,,,,
